hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,wav_request_flag,wav_match_flag,access_a_ride_flag
HV0003,B03404,B03404,2023-01-01T00:18:06.000,2023-01-01T00:19:24.000,2023-01-01T00:19:38.000,2023-01-01T00:48:07.000,48,68,0.94,1709,25.95,0.0,0.78,2.3,2.75,0.0,5.22,27.83,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:48:42.000,2023-01-01T00:56:20.000,2023-01-01T00:58:39.000,2023-01-01T01:33:08.000,246,163,2.78,2069,60.14,0.0,1.8,5.34,2.75,0.0,0.0,50.15,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:15:35.000,2023-01-01T00:20:14.000,2023-01-01T00:20:27.000,2023-01-01T00:37:54.000,9,129,8.81,1047,24.37,0.0,0.73,2.16,0.0,0.0,0.0,20.22,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:35:24.000,2023-01-01T00:39:30.000,2023-01-01T00:41:05.000,2023-01-01T00:48:16.000,129,129,0.67,431,13.8,0.0,0.41,1.22,0.0,0.0,0.0,7.9,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:43:15.000,2023-01-01T00:51:10.000,2023-01-01T00:52:47.000,2023-01-01T01:04:51.000,129,92,4.38,724,20.49,0.0,0.61,1.82,0.0,0.0,0.0,16.48,N,N,N,False,
HV0005,B03406,,2023-01-01T00:21:34.000,,2023-01-01T00:29:05.000,2023-01-01T00:49:54.000,130,38,4.921,1249,18.29,0.0,0.43,1.27,0.0,0.0,0.0,16.81,N,N,N,False,N
HV0005,B03406,,2023-01-01T00:47:17.000,,2023-01-01T00:55:29.000,2023-01-01T01:16:07.000,38,10,5.517,1238,25.76,0.0,0.77,2.29,0.0,0.0,0.0,23.65,N,N,N,False,N
HV0003,B03404,B03404,2023-01-01T00:06:54.000,2023-01-01T00:08:59.000,2023-01-01T00:10:29.000,2023-01-01T00:18:22.000,90,231,1.89,473,14.51,0.0,0.44,1.29,2.75,0.0,0.0,13.73,N,N,N,True,
HV0003,B03404,B03404,2023-01-01T00:15:22.000,2023-01-01T00:21:39.000,2023-01-01T00:22:10.000,2023-01-01T00:33:14.000,125,246,2.65,664,13.0,0.0,0.39,1.15,2.75,0.0,0.0,13.61,N,N,N,True,
HV0003,B03404,B03404,2023-01-01T00:26:02.000,2023-01-01T00:39:09.000,2023-01-01T00:39:09.000,2023-01-01T01:03:50.000,68,231,3.26,1481,30.38,0.0,0.91,2.7,2.75,0.0,0.0,28.25,N,N,N,True,
HV0003,B03404,B03404,2023-01-01T00:09:35.000,2023-01-01T00:14:11.000,2023-01-01T00:14:35.000,2023-01-01T00:49:13.000,79,50,3.76,2078,19.49,0.0,0.58,1.73,2.75,0.0,0.0,23.13,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:42:57.000,2023-01-01T00:52:03.000,2023-01-01T00:52:15.000,2023-01-01T01:31:11.000,143,223,7.07,2336,58.25,0.0,1.75,5.17,2.75,0.0,13.58,43.25,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:17:39.000,2023-01-01T00:23:21.000,2023-01-01T00:24:48.000,2023-01-01T00:37:39.000,49,181,2.15,771,13.04,0.0,0.39,1.16,0.0,0.0,3.0,10.03,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:41:11.000,2023-01-01T00:45:57.000,2023-01-01T00:46:20.000,2023-01-01T00:52:51.000,181,25,1.09,391,19.59,0.0,0.59,1.74,0.0,0.0,0.0,21.13,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:44:24.000,2023-01-01T00:53:17.000,2023-01-01T00:53:40.000,2023-01-01T01:31:23.000,25,143,11.08,2263,78.77,0.0,2.36,6.99,2.75,0.0,0.0,50.57,N,N,N,False,
HV0005,B03406,,2023-01-01T00:42:03.000,,2023-01-01T00:55:53.000,2023-01-01T01:26:11.000,216,39,8.443,1818,40.18,0.0,1.2,3.56,0.0,0.0,0.0,25.95,N,N,N,False,N
HV0003,B03404,B03404,2023-01-01T00:13:51.000,2023-01-01T00:26:55.000,2023-01-01T00:28:05.000,2023-01-01T00:37:45.000,223,7,1.65,580,9.47,0.0,0.28,0.84,0.0,0.0,0.0,7.88,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:30:12.000,2023-01-01T00:38:51.000,2023-01-01T00:40:51.000,2023-01-01T00:54:09.000,7,223,2.02,798,21.48,0.0,0.64,1.91,0.0,0.0,0.0,16.86,N,N,N,False,
HV0003,B03404,B03404,2023-01-01T00:50:41.000,2023-01-01T00:59:03.000,2023-01-01T00:59:56.000,2023-01-01T01:18:47.000,223,145,3.83,1131,18.74,0.0,0.56,1.66,0.0,0.0,0.0,17.55,N,N,N,False,
HV0005,B03406,,2023-01-01T00:16:47.000,,2023-01-01T00:18:44.000,2023-01-01T00:48:36.000,79,188,10.141,1792,30.49,0.98,0.95,2.82,2.75,0.0,0.0,27.7,N,N,N,False,N
